id,name,category,price,stock
113,food-113,food,54.81,291
114,electronics-114,electronics,56.18,298
115,clothing-115,clothing,57.55,305
116,books-116,books,58.92,312
117,home-117,home,60.29,319
118,toys-118,toys,61.66,326
119,food-119,food,63.03,333
120,electronics-120,electronics,64.40,340
121,clothing-121,clothing,65.77,347
122,books-122,books,67.14,354
123,home-123,home,68.51,361
124,toys-124,toys,69.88,368
125,food-125,food,71.25,375
126,electronics-126,electronics,72.62,382
127,clothing-127,clothing,73.99,389
128,books-128,books,75.36,396
129,home-129,home,76.73,403
130,toys-130,toys,78.10,410
131,food-131,food,79.47,417
132,electronics-132,electronics,80.84,424
133,clothing-133,clothing,82.21,431
134,books-134,books,83.58,438
135,home-135,home,84.95,445
136,toys-136,toys,86.32,452
137,food-137,food,87.69,459
138,electronics-138,electronics,89.06,466
139,clothing-139,clothing,90.43,473
140,books-140,books,91.80,480
141,home-141,home,93.17,487
142,toys-142,toys,94.54,494
143,food-143,food,95.91,1
144,electronics-144,electronics,97.28,8
145,clothing-145,clothing,98.65,15
146,books-146,books,0.02,22
147,home-147,home,1.39,29
148,toys-148,toys,2.76,36
149,food-149,food,4.13,43
150,electronics-150,electronics,5.50,50
151,clothing-151,clothing,6.87,57
152,books-152,books,8.24,64
153,home-153,home,9.61,71
154,toys-154,toys,10.98,78
155,food-155,food,12.35,85
156,electronics-156,electronics,13.72,92
157,clothing-157,clothing,15.09,99
158,books-158,books,16.46,106
159,home-159,home,17.83,113
160,toys-160,toys,19.20,120
161,food-161,food,20.57,127
162,electronics-162,electronics,21.94,134
163,clothing-163,clothing,23.31,141
164,books-164,books,24.68,148
165,home-165,home,26.05,155
166,toys-166,toys,27.42,162
167,food-167,food,28.79,169
168,electronics-168,electronics,30.16,176
169,clothing-169,clothing,31.53,183
170,books-170,books,32.90,190
171,home-171,home,34.27,197
172,toys-172,toys,35.64,204
173,food-173,food,37.01,211
174,electronics-174,electronics,38.38,218
175,clothing-175,clothing,39.75,225
176,books-176,books,41.12,232
177,home-177,home,42.49,239
178,toys-178,toys,43.86,246
179,food-179,food,45.23,253
180,electronics-180,electronics,46.60,260
181,clothing-181,clothing,47.97,267
182,books-182,books,49.34,274
183,home-183,home,50.71,281
184,toys-184,toys,52.08,288
185,food-185,food,53.45,295
186,electronics-186,electronics,54.82,302
187,clothing-187,clothing,56.19,309
188,books-188,books,57.56,316
189,home-189,home,58.93,323
190,toys-190,toys,60.30,330
191,food-191,food,61.67,337
192,electronics-192,electronics,63.04,344
193,clothing-193,clothing,64.41,351
194,books-194,books,65.78,358
195,home-195,home,67.15,365
196,toys-196,toys,68.52,372
197,food-197,food,69.89,379
198,electronics-198,electronics,71.26,386
199,clothing-199,clothing,72.63,393
200,books-200,books,74.00,400
201,home-201,home,75.37,407
202,toys-202,toys,76.74,414
203,food-203,food,78.11,421
204,electronics-204,electronics,79.48,428
205,clothing-205,clothing,80.85,435
206,books-206,books,82.22,442
207,home-207,home,83.59,449
208,toys-208,toys,84.96,456
209,food-209,food,86.33,463
210,electronics-210,electronics,87.70,470
211,clothing-211,clothing,89.07,477
212,books-212,books,90.44,484
213,home-213,home,91.81,491
214,toys-214,toys,93.18,498
215,food-215,food,94.55,5
216,electronics-216,electronics,95.92,12
217,clothing-217,clothing,97.29,19
218,books-218,books,98.66,26
219,home-219,home,0.03,33
220,toys-220,toys,1.40,40
221,food-221,food,2.77,47
222,electronics-222,electronics,4.14,54
223,clothing-223,clothing,5.51,61
224,books-224,books,6.88,68
225,home-225,home,8.25,75
226,toys-226,toys,9.62,82
227,food-227,food,10.99,89
228,electronics-228,electronics,12.36,96
229,clothing-229,clothing,13.73,103
230,books-230,books,15.10,110
231,home-231,home,16.47,117
232,toys-232,toys,17.84,124
233,food-233,food,19.21,131
234,electronics-234,electronics,20.58,138
235,clothing-235,clothing,21.95,145
236,books-236,books,23.32,152
237,home-237,home,24.69,159
238,toys-238,toys,26.06,166
239,food-239,food,27.43,173
240,electronics-240,electronics,28.80,180
241,clothing-241,clothing,30.17,187
242,books-242,books,31.54,194
243,home-243,home,32.91,201
244,toys-244,toys,34.28,208
245,food-245,food,35.65,215
246,electronics-246,electronics,37.02,222
247,clothing-247,clothing,38.39,229
248,books-248,books,39.76,236
249,home-249,home,41.13,243
250,toys-250,toys,42.50,250
251,food-251,food,43.87,257
252,electronics-252,electronics,45.24,264
253,clothing-253,clothing,46.61,271
254,books-254,books,47.98,278
255,home-255,home,49.35,285
256,toys-256,toys,50.72,292
257,food-257,food,52.09,299
258,electronics-258,electronics,53.46,306
259,clothing-259,clothing,54.83,313
260,books-260,books,56.20,320
261,home-261,home,57.57,327
262,toys-262,toys,58.94,334
263,food-263,food,60.31,341
264,electronics-264,electronics,61.68,348
265,clothing-265,clothing,63.05,355
266,books-266,books,64.42,362
267,home-267,home,65.79,369
268,toys-268,toys,67.16,376
269,food-269,food,68.53,383
270,electronics-270,electronics,69.90,390
271,clothing-271,clothing,71.27,397
272,books-272,books,72.64,404
273,home-273,home,74.01,411
274,toys-274,toys,75.38,418
275,food-275,food,76.75,425
276,electronics-276,electronics,78.12,432
277,clothing-277,clothing,79.49,439
278,books-278,books,80.86,446
279,home-279,home,82.23,453
280,toys-280,toys,83.60,460
281,food-281,food,84.97,467
282,electronics-282,electronics,86.34,474
283,clothing-283,clothing,87.71,481
284,books-284,books,89.08,488
285,home-285,home,90.45,495
286,toys-286,toys,91.82,2
287,food-287,food,93.19,9
288,electronics-288,electronics,94.56,16
289,clothing-289,clothing,95.93,23
290,books-290,books,97.30,30
291,home-291,home,98.67,37
292,toys-292,toys,0.04,44
293,food-293,food,1.41,51
294,electronics-294,electronics,2.78,58
295,clothing-295,clothing,4.15,65
296,books-296,books,5.52,72
297,home-297,home,6.89,79
298,toys-298,toys,8.26,86
299,food-299,food,9.63,93
300,electronics-300,electronics,11.00,100
301,clothing-301,clothing,12.37,107
302,books-302,books,13.74,114
303,home-303,home,15.11,121
304,toys-304,toys,16.48,128
305,food-305,food,17.85,135
306,electronics-306,electronics,19.22,142
307,clothing-307,clothing,20.59,149
308,books-308,books,21.96,156
309,home-309,home,23.33,163
310,toys-310,toys,24.70,170
311,food-311,food,26.07,177
312,electronics-312,electronics,27.44,184
313,clothing-313,clothing,28.81,191
314,books-314,books,30.18,198
315,home-315,home,31.55,205
316,toys-316,toys,32.92,212
317,food-317,food,34.29,219
318,electronics-318,electronics,35.66,226
319,clothing-319,clothing,37.03,233
320,books-320,books,38.40,240
321,home-321,home,39.77,247
322,toys-322,toys,41.14,254
323,food-323,food,42.51,261
324,electronics-324,electronics,43.88,268
325,clothing-325,clothing,45.25,275
326,books-326,books,46.62,282
327,home-327,home,47.99,289
328,toys-328,toys,49.36,296
329,food-329,food,50.73,303
330,electronics-330,electronics,52.10,310
331,clothing-331,clothing,53.47,317
332,books-332,books,54.84,324
333,home-333,home,56.21,331
334,toys-334,toys,57.58,338
335,food-335,food,58.95,345
336,electronics-336,electronics,60.32,352
337,clothing-337,clothing,61.69,359
338,books-338,books,63.06,366
339,home-339,home,64.43,373
340,toys-340,toys,65.80,380
341,food-341,food,67.17,387
342,electronics-342,electronics,68.54,394
343,clothing-343,clothing,69.91,401
344,books-344,books,71.28,408
345,home-345,home,72.65,415
346,toys-346,toys,74.02,422
347,food-347,food,75.39,429
348,electronics-348,electronics,76.76,436
349,clothing-349,clothing,78.13,443
350,books-350,books,79.50,450
351,home-351,home,80.87,457
352,toys-352,toys,82.24,464
353,food-353,food,83.61,471
354,electronics-354,electronics,84.98,478
355,clothing-355,clothing,86.35,485
356,books-356,books,87.72,492
357,home-357,home,89.09,499
358,toys-358,toys,90.46,6
359,food-359,food,91.83,13
360,electronics-360,electronics,93.20,20
361,clothing-361,clothing,94.57,27
362,books-362,books,95.94,34
363,home-363,home,97.31,41
364,toys-364,toys,98.68,48
365,food-365,food,0.05,55
366,electronics-366,electronics,1.42,62
367,clothing-367,clothing,2.79,69
368,books-368,books,4.16,76
369,home-369,home,5.53,83
370,toys-370,toys,6.90,90
371,food-371,food,8.27,97
372,electronics-372,electronics,9.64,104
373,clothing-373,clothing,11.01,111
374,books-374,books,12.38,118
375,home-375,home,13.75,125
376,toys-376,toys,15.12,132
377,food-377,food,16.49,139
378,electronics-378,electronics,17.86,146
379,clothing-379,clothing,19.23,153
380,books-380,books,20.60,160
381,home-381,home,21.97,167
382,toys-382,toys,23.34,174
383,food-383,food,24.71,181
384,electronics-384,electronics,26.08,188
385,clothing-385,clothing,27.45,195
386,books-386,books,28.82,202
387,home-387,home,30.19,209
388,toys-388,toys,31.56,216
389,food-389,food,32.93,223
390,electronics-390,electronics,34.30,230
391,clothing-391,clothing,35.67,237
392,books-392,books,37.04,244
393,home-393,home,38.41,251
394,toys-394,toys,39.78,258
395,food-395,food,41.15,265
396,electronics-396,electronics,42.52,272
397,clothing-397,clothing,43.89,279
398,books-398,books,45.26,286
399,home-399,home,46.63,293
400,toys-400,toys,48.00,300
401,food-401,food,49.37,307
402,electronics-402,electronics,50.74,314
403,clothing-403,clothing,52.11,321
404,books-404,books,53.48,328
405,home-405,home,54.85,335
406,toys-406,toys,56.22,342
407,food-407,food,57.59,349
408,electronics-408,electronics,58.96,356
409,clothing-409,clothing,60.33,363
410,books-410,books,61.70,370
411,home-411,home,63.07,377
412,toys-412,toys,64.44,384
413,food-413,food,65.81,391
414,electronics-414,electronics,67.18,398
415,clothing-415,clothing,68.55,405
416,books-416,books,69.92,412
417,home-417,home,71.29,419
418,toys-418,toys,72.66,426
419,food-419,food,74.03,433
420,electronics-420,electronics,75.40,440
421,clothing-421,clothing,76.77,447
422,books-422,books,78.14,454
423,home-423,home,79.51,461
424,toys-424,toys,80.88,468
425,food-425,food,82.25,475
426,electronics-426,electronics,83.62,482
427,clothing-427,clothing,84.99,489
428,books-428,books,86.36,496
429,home-429,home,87.73,3
430,toys-430,toys,89.10,10
431,food-431,food,90.47,17
432,electronics-432,electronics,91.84,24
433,clothing-433,clothing,93.21,31
434,books-434,books,94.58,38
435,home-435,home,95.95,45
436,toys-436,toys,97.32,52
437,food-437,food,98.69,59
438,electronics-438,electronics,0.06,66
439,clothing-439,clothing,1.43,73
440,books-440,books,2.80,80
441,home-441,home,4.17,87
442,toys-442,toys,5.54,94
443,food-443,food,6.91,101
444,electronics-444,electronics,8.28,108
445,clothing-445,clothing,9.65,115
446,books-446,books,11.02,122
447,home-447,home,12.39,129
448,toys-448,toys,13.76,136
449,food-449,food,15.13,143
450,electronics-450,electronics,16.50,150
451,clothing-451,clothing,17.87,157
452,books-452,books,19.24,164
453,home-453,home,20.61,171
454,toys-454,toys,21.98,178
455,food-455,food,23.35,185
456,electronics-456,electronics,24.72,192
457,clothing-457,clothing,26.09,199
458,books-458,books,27.46,206
459,home-459,home,28.83,213
460,toys-460,toys,30.20,220
461,food-461,food,31.57,227
462,electronics-462,electronics,32.94,234
463,clothing-463,clothing,34.31,241
464,books-464,books,35.68,248
465,home-465,home,37.05,255
466,toys-466,toys,38.42,262
467,food-467,food,39.79,269
468,electronics-468,electronics,41.16,276
469,clothing-469,clothing,42.53,283
470,books-470,books,43.90,290
471,home-471,home,45.27,297
472,toys-472,toys,46.64,304
473,food-473,food,48.01,311
474,electronics-474,electronics,49.38,318
475,clothing-475,clothing,50.75,325
476,books-476,books,52.12,332
477,home-477,home,53.49,339
478,toys-478,toys,54.86,346
479,food-479,food,56.23,353
480,electronics-480,electronics,57.60,360
481,clothing-481,clothing,58.97,367
482,books-482,books,60.34,374
483,home-483,home,61.71,381
484,toys-484,toys,63.08,388
485,food-485,food,64.45,395
486,electronics-486,electronics,65.82,402
487,clothing-487,clothing,67.19,409
488,books-488,books,68.56,416
489,home-489,home,69.93,423
490,toys-490,toys,71.30,430
491,food-491,food,72.67,437
492,electronics-492,electronics,74.04,444
493,clothing-493,clothing,75.41,451
494,books-494,books,76.78,458
495,home-495,home,78.15,465
496,toys-496,toys,79.52,472
497,food-497,food,80.89,479
498,electronics-498,electronics,82.26,486
499,clothing-499,clothing,83.63,493
500,books-500,books,85.00,0
501,home-501,home,86.37,7
502,toys-502,toys,87.74,14
503,food-503,food,89.11,21
504,electronics-504,electronics,90.48,28
505,clothing-505,clothing,91.85,35
506,books-506,books,93.22,42
507,home-507,home,94.59,49
508,toys-508,toys,95.96,56
509,food-509,food,97.33,63
510,electronics-510,electronics,98.70,70
511,clothing-511,clothing,0.07,77
512,books-512,books,1.44,84
513,home-513,home,2.81,91
514,toys-514,toys,4.18,98
515,food-515,food,5.55,105
516,electronics-516,electronics,6.92,112
517,clothing-517,clothing,8.29,119
518,books-518,books,9.66,126
519,home-519,home,11.03,133
520,toys-520,toys,12.40,140
521,food-521,food,13.77,147
522,electronics-522,electronics,15.14,154
523,clothing-523,clothing,16.51,161
524,books-524,books,17.88,168
525,home-525,home,19.25,175
526,toys-526,toys,20.62,182
527,food-527,food,21.99,189
528,electronics-528,electronics,23.36,196
529,clothing-529,clothing,24.73,203
530,books-530,books,26.10,210
531,home-531,home,27.47,217
532,toys-532,toys,28.84,224
533,food-533,food,30.21,231
534,electronics-534,electronics,31.58,238
535,clothing-535,clothing,32.95,245
536,books-536,books,34.32,252
537,home-537,home,35.69,259
538,toys-538,toys,37.06,266
539,food-539,food,38.43,273
540,electronics-540,electronics,39.80,280
541,clothing-541,clothing,41.17,287
542,books-542,books,42.54,294
543,home-543,home,43.91,301
544,toys-544,toys,45.28,308
545,food-545,food,46.65,315
546,electronics-546,electronics,48.02,322
547,clothing-547,clothing,49.39,329
548,books-548,books,50.76,336
549,home-549,home,52.13,343
550,toys-550,toys,53.50,350
551,food-551,food,54.87,357
552,electronics-552,electronics,56.24,364
553,clothing-553,clothing,57.61,371
554,books-554,books,58.98,378
555,home-555,home,60.35,385
556,toys-556,toys,61.72,392
557,food-557,food,63.09,399
558,electronics-558,electronics,64.46,406
559,clothing-559,clothing,65.83,413
560,books-560,books,67.20,420
561,home-561,home,68.57,427
562,toys-562,toys,69.94,434
563,food-563,food,71.31,441
564,electronics-564,electronics,72.68,448
565,clothing-565,clothing,74.05,455
566,books-566,books,75.42,462
567,home-567,home,76.79,469
568,toys-568,toys,78.16,476
569,food-569,food,79.53,483
570,electronics-570,electronics,80.90,490
571,clothing-571,clothing,82.27,497
572,books-572,books,83.64,4
573,home-573,home,85.01,11
574,toys-574,toys,86.38,18
575,food-575,food,87.75,25
576,electronics-576,electronics,89.12,32
577,clothing-577,clothing,90.49,39
578,books-578,books,91.86,46
579,home-579,home,93.23,53
580,toys-580,toys,94.60,60
581,food-581,food,95.97,67
582,electronics-582,electronics,97.34,74
583,clothing-583,clothing,98.71,81
584,books-584,books,0.08,88
585,home-585,home,1.45,95
586,toys-586,toys,2.82,102
587,food-587,food,4.19,109
588,electronics-588,electronics,5.56,116
589,clothing-589,clothing,6.93,123
590,books-590,books,8.30,130
591,home-591,home,9.67,137
592,toys-592,toys,11.04,144
593,food-593,food,12.41,151
594,electronics-594,electronics,13.78,158
595,clothing-595,clothing,15.15,165
596,books-596,books,16.52,172
597,home-597,home,17.89,179
598,toys-598,toys,19.26,186
599,food-599,food,20.63,193
600,electronics-600,electronics,22.00,200
601,clothing-601,clothing,23.37,207
602,books-602,books,24.74,214
603,home-603,home,26.11,221
604,toys-604,toys,27.48,228
605,food-605,food,28.85,235
606,electronics-606,electronics,30.22,242
607,clothing-607,clothing,31.59,249
608,books-608,books,32.96,256
609,home-609,home,34.33,263
610,toys-610,toys,35.70,270
611,food-611,food,37.07,277
612,electronics-612,electronics,38.44,284
613,clothing-613,clothing,39.81,291
614,books-614,books,41.18,298
615,home-615,home,42.55,305
616,toys-616,toys,43.92,312
617,food-617,food,45.29,319
618,electronics-618,electronics,46.66,326
619,clothing-619,clothing,48.03,333
620,books-620,books,49.40,340
621,home-621,home,50.77,347
622,toys-622,toys,52.14,354
623,food-623,food,53.51,361
624,electronics-624,electronics,54.88,368
625,clothing-625,clothing,56.25,375
626,books-626,books,57.62,382
627,home-627,home,58.99,389
628,toys-628,toys,60.36,396
629,food-629,food,61.73,403
630,electronics-630,electronics,63.10,410
631,clothing-631,clothing,64.47,417
632,books-632,books,65.84,424
633,home-633,home,67.21,431
634,toys-634,toys,68.58,438
635,food-635,food,69.95,445
636,electronics-636,electronics,71.32,452
637,clothing-637,clothing,72.69,459
638,books-638,books,74.06,466
639,home-639,home,75.43,473
640,toys-640,toys,76.80,480
641,food-641,food,78.17,487
642,electronics-642,electronics,79.54,494
643,clothing-643,clothing,80.91,1
644,books-644,books,82.28,8
645,home-645,home,83.65,15
646,toys-646,toys,85.02,22
647,food-647,food,86.39,29
648,electronics-648,electronics,87.76,36
649,clothing-649,clothing,89.13,43
650,books-650,books,90.50,50
651,home-651,home,91.87,57
652,toys-652,toys,93.24,64
653,food-653,food,94.61,71
654,electronics-654,electronics,95.98,78
655,clothing-655,clothing,97.35,85
656,books-656,books,98.72,92
657,home-657,home,0.09,99
658,toys-658,toys,1.46,106
659,food-659,food,2.83,113
660,electronics-660,electronics,4.20,120
661,clothing-661,clothing,5.57,127
662,books-662,books,6.94,134
663,home-663,home,8.31,141
664,toys-664,toys,9.68,148
665,food-665,food,11.05,155
666,electronics-666,electronics,12.42,162
667,clothing-667,clothing,13.79,169
668,books-668,books,15.16,176
669,home-669,home,16.53,183
670,toys-670,toys,17.90,190
671,food-671,food,19.27,197
672,electronics-672,electronics,20.64,204
673,clothing-673,clothing,22.01,211
674,books-674,books,23.38,218
675,home-675,home,24.75,225
676,toys-676,toys,26.12,232
677,food-677,food,27.49,239
678,electronics-678,electronics,28.86,246
679,clothing-679,clothing,30.23,253
680,books-680,books,31.60,260
681,home-681,home,32.97,267
682,toys-682,toys,34.34,274
683,food-683,food,35.71,281
684,electronics-684,electronics,37.08,288
685,clothing-685,clothing,38.45,295
686,books-686,books,39.82,302
687,home-687,home,41.19,309
688,toys-688,toys,42.56,316
689,food-689,food,43.93,323
690,electronics-690,electronics,45.30,330
691,clothing-691,clothing,46.67,337
692,books-692,books,48.04,344
693,home-693,home,49.41,351
694,toys-694,toys,50.78,358
695,food-695,food,52.15,365
696,electronics-696,electronics,53.52,372
697,clothing-697,clothing,54.89,379
698,books-698,books,56.26,386
699,home-699,home,57.63,393
700,toys-700,toys,59.00,400
701,food-701,food,60.37,407
702,electronics-702,electronics,61.74,414
703,clothing-703,clothing,63.11,421
704,books-704,books,64.48,428
705,home-705,home,65.85,435
706,toys-706,toys,67.22,442
707,food-707,food,68.59,449
708,electronics-708,electronics,69.96,456
709,clothing-709,clothing,71.33,463
710,books-710,books,72.70,470
711,home-711,home,74.07,477
712,toys-712,toys,75.44,484
713,food-713,food,76.81,491
714,electronics-714,electronics,78.18,498
715,clothing-715,clothing,79.55,5
716,books-716,books,80.92,12
717,home-717,home,82.29,19
718,toys-718,toys,83.66,26
719,food-719,food,85.03,33
720,electronics-720,electronics,86.40,40
721,clothing-721,clothing,87.77,47
722,books-722,books,89.14,54
723,home-723,home,90.51,61
724,toys-724,toys,91.88,68
725,food-725,food,93.25,75
726,electronics-726,electronics,94.62,82
727,clothing-727,clothing,95.99,89
728,books-728,books,97.36,96
729,home-729,home,98.73,103
730,toys-730,toys,0.10,110
731,food-731,food,1.47,117
732,electronics-732,electronics,2.84,124
733,clothing-733,clothing,4.21,131
734,books-734,books,5.58,138
735,home-735,home,6.95,145
736,toys-736,toys,8.32,152
737,food-737,food,9.69,159
738,electronics-738,electronics,11.06,166
739,clothing-739,clothing,12.43,173
740,books-740,books,13.80,180
741,home-741,home,15.17,187
742,toys-742,toys,16.54,194
743,food-743,food,17.91,201
744,electronics-744,electronics,19.28,208
745,clothing-745,clothing,20.65,215
746,books-746,books,22.02,222
747,home-747,home,23.39,229
748,toys-748,toys,24.76,236
749,food-749,food,26.13,243
750,electronics-750,electronics,27.50,250
751,clothing-751,clothing,28.87,257
752,books-752,books,30.24,264
753,home-753,home,31.61,271
754,toys-754,toys,32.98,278
755,food-755,food,34.35,285
756,electronics-756,electronics,35.72,292
757,clothing-757,clothing,37.09,299
758,books-758,books,38.46,306
759,home-759,home,39.83,313
760,toys-760,toys,41.20,320
761,food-761,food,42.57,327
762,electronics-762,electronics,43.94,334
763,clothing-763,clothing,45.31,341
764,books-764,books,46.68,348
765,home-765,home,48.05,355
766,toys-766,toys,49.42,362
767,food-767,food,50.79,369
768,electronics-768,electronics,52.16,376
769,clothing-769,clothing,53.53,383
770,books-770,books,54.90,390
771,home-771,home,56.27,397
772,toys-772,toys,57.64,404
773,food-773,food,59.01,411
774,electronics-774,electronics,60.38,418
775,clothing-775,clothing,61.75,425
776,books-776,books,63.12,432
777,home-777,home,64.49,439
778,toys-778,toys,65.86,446
779,food-779,food,67.23,453
780,electronics-780,electronics,68.60,460
781,clothing-781,clothing,69.97,467
782,books-782,books,71.34,474
783,home-783,home,72.71,481
784,toys-784,toys,74.08,488
785,food-785,food,75.45,495
786,electronics-786,electronics,76.82,2
787,clothing-787,clothing,78.19,9
788,books-788,books,79.56,16
789,home-789,home,80.93,23
790,toys-790,toys,82.30,30
791,food-791,food,83.67,37
792,electronics-792,electronics,85.04,44
793,clothing-793,clothing,86.41,51
794,books-794,books,87.78,58
795,home-795,home,89.15,65
796,toys-796,toys,90.52,72
797,food-797,food,91.89,79
798,electronics-798,electronics,93.26,86
799,clothing-799,clothing,94.63,93
800,books-800,books,96.00,100
801,home-801,home,97.37,107
802,toys-802,toys,98.74,114
803,food-803,food,0.11,121
804,electronics-804,electronics,1.48,128
805,clothing-805,clothing,2.85,135
806,books-806,books,4.22,142
807,home-807,home,5.59,149
808,toys-808,toys,6.96,156
809,food-809,food,8.33,163
810,electronics-810,electronics,9.70,170
811,clothing-811,clothing,11.07,177
812,books-812,books,12.44,184
813,home-813,home,13.81,191
814,toys-814,toys,15.18,198
815,food-815,food,16.55,205
816,electronics-816,electronics,17.92,212
817,clothing-817,clothing,19.29,219
818,books-818,books,20.66,226
819,home-819,home,22.03,233
820,toys-820,toys,23.40,240
821,food-821,food,24.77,247
822,electronics-822,electronics,26.14,254
823,clothing-823,clothing,27.51,261
824,books-824,books,28.88,268
825,home-825,home,30.25,275
826,toys-826,toys,31.62,282
827,food-827,food,32.99,289
828,electronics-828,electronics,34.36,296
829,clothing-829,clothing,35.73,303
830,books-830,books,37.10,310
831,home-831,home,38.47,317
832,toys-832,toys,39.84,324
833,food-833,food,41.21,331
834,electronics-834,electronics,42.58,338
835,clothing-835,clothing,43.95,345
836,books-836,books,45.32,352
837,home-837,home,46.69,359
838,toys-838,toys,48.06,366
839,food-839,food,49.43,373
840,electronics-840,electronics,50.80,380
841,clothing-841,clothing,52.17,387
842,books-842,books,53.54,394
843,home-843,home,54.91,401
844,toys-844,toys,56.28,408
845,food-845,food,57.65,415
846,electronics-846,electronics,59.02,422
847,clothing-847,clothing,60.39,429
848,books-848,books,61.76,436
849,home-849,home,63.13,443
850,toys-850,toys,64.50,450
851,food-851,food,65.87,457
852,electronics-852,electronics,67.24,464
853,clothing-853,clothing,68.61,471
854,books-854,books,69.98,478
855,home-855,home,71.35,485
856,toys-856,toys,72.72,492
857,food-857,food,74.09,499
858,electronics-858,electronics,75.46,6
859,clothing-859,clothing,76.83,13
860,books-860,books,78.20,20
861,home-861,home,79.57,27
862,toys-862,toys,80.94,34
863,food-863,food,82.31,41
864,electronics-864,electronics,83.68,48
865,clothing-865,clothing,85.05,55
866,books-866,books,86.42,62
867,home-867,home,87.79,69
868,toys-868,toys,89.16,76
869,food-869,food,90.53,83
870,electronics-870,electronics,91.90,90
871,clothing-871,clothing,93.27,97
872,books-872,books,94.64,104
873,home-873,home,96.01,111
874,toys-874,toys,97.38,118
875,food-875,food,98.75,125
876,electronics-876,electronics,0.12,132
877,clothing-877,clothing,1.49,139
878,books-878,books,2.86,146
879,home-879,home,4.23,153
880,toys-880,toys,5.60,160
881,food-881,food,6.97,167
882,electronics-882,electronics,8.34,174
883,clothing-883,clothing,9.71,181
884,books-884,books,11.08,188
885,home-885,home,12.45,195
886,toys-886,toys,13.82,202
887,food-887,food,15.19,209
888,electronics-888,electronics,16.56,216
889,clothing-889,clothing,17.93,223
890,books-890,books,19.30,230
891,home-891,home,20.67,237
892,toys-892,toys,22.04,244
